tiempo,voltaje
0.000,13.440
0.500,13.360
1.000,13.440
1.500,13.360
2.000,13.440
2.500,13.360
3.000,13.280
3.500,13.280
4.000,13.360
4.500,13.280
5.000,13.280
5.500,13.440
6.000,13.520
6.500,13.680
7.000,13.680
7.500,13.680
8.000,13.680
8.500,13.600
9.000,13.520
9.500,13.520
10.000,13.440
10.500,13.440
11.000,13.440
11.500,13.360
12.000,13.360
12.500,13.360
13.000,13.200
13.500,13.280
14.000,13.280
14.500,13.280
15.000,13.280
15.500,13.440
16.000,13.520
16.500,13.600
17.000,13.680
17.500,13.680
18.000,13.600
18.500,13.600
19.000,13.520
19.500,13.520
20.000,13.520
20.500,13.440
21.000,13.440
21.500,13.440
22.000,13.360
22.500,13.360
23.000,13.360
23.500,13.200
24.000,13.200
24.500,13.280
25.000,13.360
25.500,13.440
26.000,13.520
26.500,13.680
27.000,13.680
27.500,13.600
28.000,13.600
28.500,13.600
29.000,13.520
29.500,13.440
30.000,13.520
30.500,13.440
31.000,13.440
31.500,13.440
32.000,13.360
32.500,13.280
33.000,13.360
33.500,13.200
34.000,13.280
34.500,13.280
35.000,13.280
35.500,13.440
36.000,13.520
36.500,13.680
37.000,13.760
37.500,13.680
38.000,13.600
38.500,13.600
39.000,13.520
39.500,13.600
40.000,13.520
40.500,13.520
41.000,13.440
41.500,13.440
42.000,13.440
42.500,13.360
43.000,13.280
43.500,13.360
44.000,13.200
44.500,13.280
45.000,13.360
45.500,13.440
46.000,13.520
46.500,13.600
47.000,13.680
47.500,13.600
48.000,13.680
48.500,13.680
49.000,13.520
49.500,13.440
